"Hero1","H1name","Hero2","H2name","wins","losses","num_of_picks","win_percentage","pickpermedian"
40,"Venomancer",62,"Bounty Hunter",47,56,103,0.456310679611651,1.32051282051282
40,"Venomancer",63,"Weaver",25,26,51,0.490196078431373,0.653846153846154
40,"Venomancer",64,"Jakiro",28,25,53,0.528301886792453,0.67948717948718
40,"Venomancer",65,"Batrider",8,9,17,0.470588235294118,0.217948717948718
40,"Venomancer",66,"Chen",7,10,17,0.411764705882353,0.217948717948718
40,"Venomancer",67,"Spectre",97,70,167,0.580838323353293,2.14102564102564
40,"Venomancer",68,"Ancient Apparition",67,66,133,0.503759398496241,1.70512820512821
40,"Venomancer",69,"Doom",94,67,161,0.583850931677019,2.06410256410256
40,"Venomancer",70,"Ursa",64,34,98,0.653061224489796,1.25641025641026
40,"Venomancer",71,"Spirit Breaker",89,59,148,0.601351351351351,1.8974358974359
40,"Venomancer",72,"Gyrocopter",83,94,177,0.468926553672316,2.26923076923077
40,"Venomancer",73,"Alchemist",114,109,223,0.511210762331839,2.85897435897436
40,"Venomancer",74,"Invoker",118,144,262,0.450381679389313,3.35897435897436
40,"Venomancer",75,"Silencer",80,55,135,0.592592592592593,1.73076923076923
40,"Venomancer",76,"Outworld Devourer",22,18,40,0.55,0.512820512820513
40,"Venomancer",77,"Lycan",8,17,25,0.32,0.320512820512821
40,"Venomancer",78,"Brewmaster",16,8,24,0.666666666666667,0.307692307692308
40,"Venomancer",79,"Shadow Demon",6,14,20,0.3,0.256410256410256
40,"Venomancer",80,"Lone Druid",8,9,17,0.470588235294118,0.217948717948718
40,"Venomancer",81,"Chaos Knight",32,30,62,0.516129032258065,0.794871794871795
40,"Venomancer",82,"Meepo",21,15,36,0.583333333333333,0.461538461538462
40,"Venomancer",83,"Treant Protector",21,14,35,0.6,0.448717948717949
40,"Venomancer",84,"Ogre Magi",40,37,77,0.519480519480519,0.987179487179487
40,"Venomancer",85,"Undying",113,68,181,0.624309392265193,2.32051282051282
40,"Venomancer",86,"Rubick",55,61,116,0.474137931034483,1.48717948717949
40,"Venomancer",87,"Disruptor",39,20,59,0.661016949152542,0.756410256410256
40,"Venomancer",88,"Nyx Assassin",25,18,43,0.581395348837209,0.551282051282051
40,"Venomancer",89,"Naga Siren",7,14,21,0.333333333333333,0.269230769230769
40,"Venomancer",90,"Keeper of the Light",16,21,37,0.432432432432432,0.474358974358974
40,"Venomancer",91,"Io",8,8,16,0.5,0.205128205128205
40,"Venomancer",92,"Visage",11,12,23,0.478260869565217,0.294871794871795
40,"Venomancer",93,"Slark",105,89,194,0.541237113402062,2.48717948717949
40,"Venomancer",94,"Medusa",28,19,47,0.595744680851064,0.602564102564103
40,"Venomancer",95,"Troll Warlord",19,11,30,0.633333333333333,0.384615384615385
40,"Venomancer",96,"Centaur Warrunner",18,21,39,0.461538461538462,0.5
40,"Venomancer",97,"Magnus",30,42,72,0.416666666666667,0.923076923076923
40,"Venomancer",98,"Timbersaw",32,29,61,0.524590163934426,0.782051282051282
